objname,filt,rapmode,midjd_targ,airmass,alpha,r,delta,nused,P,dP,thetaP,dthetaP,Pr,dPr,thetar,dthetar
Ceres,H,maxoe,2459022.2744203936,1.7670555550017544,18.91016666665652,2.9778124306660714,2.497630123604871,18,0.3452150636500893,0.03254269553287187,-70.8151247950601,2.7005761108714488,0.34518408527807937,0.03254269553287187,179.61620853833068,2.7005761108714488
Ceres,K,maxoe,2459022.276954455,1.7542142851738771,18.90991428570503,2.977812815327016,2.4975982660060794,14,0.47390518270169146,0.05581737097476726,-73.95862015015345,3.3741979378006612,0.4703186055187909,0.05581737097476726,176.4732369927596,3.3741979378006612
Ceres,J,min,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.2888033885139714,0.03174299869114271,-68.85619088184356,3.1487508914802578,0.2883669558218829,0.03174299869114271,181.5751424515472,3.148750891480258
Ceres,H,min,2459022.274649795,1.7662352935312693,18.91014117645985,2.9778124654811933,2.497627243352707,17,0.3559017576742968,0.029195445453402916,-69.82073876025362,2.3500527454759506,0.35582092176966024,0.029195445453402916,180.61059457313715,2.3500527454759506
Ceres,K,min,2459022.2764076632,1.75623076851718,18.909976923061038,2.9778127323414836,2.4976051321937436,13,0.5349218516008695,0.05031971151063756,-70.82837672880522,2.694886259784563,0.5348706314390319,0.05031971151063756,179.60355184267843,2.694886259784563
Ceres,J,minoe,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.28553514548509545,0.031816779531564955,-68.36420048962856,3.1921940498075267,0.2847921389441753,0.03181677953156496,182.0671328437622,3.1921940498075267
Ceres,H,minoe,2459022.274649795,1.7662352935312693,18.91014117645985,2.9778124654811933,2.497627243352707,17,0.3556637925623121,0.02912427481160746,-69.29155655139589,2.345892473426183,0.355382339025911,0.029124274811607467,181.1397767819949,2.345892473426183
Ceres,K,minoe,2459022.2764076632,1.75623076851718,18.909976923061038,2.9778127323414836,2.4976051321937436,13,0.5576958587539115,0.05081115025941877,-71.23709006997329,2.610082553396166,0.5574756069058285,0.05081115025941877,179.1948385015104,2.6100825533961665
Ceres,J,25,2459124.89900718,3.389684215191083,13.073257894712437,2.9798299341370114,2.163097733714731,19,1.1059007759566213,0.022285695083111377,39.787119767679044,0.5773014629966303,-1.1050661516415565,0.02228569508311138,91.1130697676079,0.5773014629966303
Ceres,H,25,2459124.8832738986,4.0272000109601915,13.069259999949134,2.979831712842621,2.162961117011625,5,1.1463150092843257,0.06721104943767504,36.866724351500324,1.6796907648570911,-1.1440083907048797,0.06721104943767504,88.18232435139859,1.6796907648570911
Ceres,K,25,2459124.8999702143,3.3500555604794764,13.073499999974239,2.979829825264012,2.1631060953208534,18,1.0306855350279427,0.045580078579163505,40.85850806696154,1.2668976344903868,-1.0276890168801076,0.045580078579163505,92.18503438267612,1.2668976344903868
Ceres,J,30,2459124.8991331793,3.3836470618235985,13.073288235281588,2.979829919894771,2.163098826762459,17,1.0584490919034029,0.02255971835675747,39.62524639188102,0.6105993470699563,-1.0578657069886648,0.02255971835675747,90.95119639180987,0.6105993470699563
Ceres,H,30,2459124.8832738986,4.0272000109601915,13.069259999949134,2.979831712842621,2.162961117011625,5,1.1344779410040835,0.0662649326300581,36.579476783350486,1.6733251622595442,-1.1314169792033264,0.0662649326300581,87.89507678324877,1.6733251622595444
Ceres,K,30,2459124.9004346654,3.326200004923841,13.07361333330378,2.9798297727653478,2.163110124494224,15,0.9341457328096568,0.04760246906724809,40.56336749614691,1.459847471417563,-0.9321113137574065,0.04760246906724809,91.89103416271797,1.459847471417563
Ceres,J,35,2459124.899771475,3.361000003537892,13.073449999981458,2.979829847726342,2.1631043720673184,18,1.0547722474227517,0.022596693197412993,38.94002360600154,0.6137320897128371,-1.0547267886833656,0.022596693197412993,90.26597360593038,0.6137320897128371
Ceres,H,35,2459124.8845889685,3.95150001370024,13.06959999993642,2.9798315642122764,2.1629725183026762,4,1.1245476344127632,0.03823637068341512,40.194574468467835,0.9740728613961562,-1.122985507691835,0.03823637068341512,91.5101744683661,0.9740728613961562
Ceres,K,35,2459124.8993702964,3.3800000046267282,13.073349999962538,2.9798298930635174,2.1631008965580305,6,0.7588289782227163,0.0936515032014996,32.652021490734015,3.5356029042732287,-0.7421333810164463,0.0936515032014996,83.97945006210485,3.5356029042732287
Ceres,J,40,2459124.8991331793,3.3836470618235985,13.073288235281588,2.979829919894771,2.163098826762459,17,1.045739813491472,0.023739030617925233,39.64163830249266,0.6503272834175432,-1.045143398836432,0.023739030617925233,90.9675883024215,0.6503272834175432
Ceres,H,40,2459124.8832738986,4.0272000109601915,13.069259999949134,2.979831712842621,2.162961117011625,5,1.0876647958003143,0.06498745662458241,36.212815465390946,1.7116978504109268,-1.0836193969917374,0.06498745662458241,87.52841546528921,1.7116978504109268
Ceres,J,max,2459124.8991331793,3.3836470618235985,13.073288235281588,2.979829919894771,2.163098826762459,17,1.0478405730881077,0.02280455486685493,39.500258781993736,0.6234749737236231,-1.047404831057613,0.02280455486685493,90.82620878192259,0.6234749737236231
Ceres,H,max,2459124.8832738986,4.0272000109601915,13.069259999949134,2.979831712842621,2.162961117011625,5,1.0862408682632183,0.06370021254366244,36.30118263990914,1.6799926422735894,-1.0824843310230865,0.06370021254366244,87.61678263980743,1.6799926422735894
Ceres,K,max,2459124.8999702143,3.3500555604794764,13.073499999974239,2.979829825264012,2.1631060953208534,18,1.0546502406936806,0.04946269463294233,40.827207035467666,1.343575119248994,-1.051671227045925,0.04946269463294234,92.15373335118225,1.343575119248994
